fk_country,fk_year,gdp,pop
140,31,370608433032.483,1293147607836.51
141,31,30603919000.0,3543776.0
142,31,78713860216.5659,10007346.0
143,31,5812114523.02702,4059195.0
144,31,18350048061415.1,49594473170967.9
145,31,7360439423.07692,441675.0
146,31,2550185618.14774,7319962.0
147,31,407187370820.237,3386420411905.1
148,31,117630271802.48,16004763.0
149,31,12408647540.9836,21090886.0
150,31,7390967034.67363,7536001.0
151,31,36144336768.7023,3022209.0
152,31,214727767.638123,324171.0
153,31,649644826.800447,4325388.0
154,31,4817542204.02673,5367179.0
155,31,917044228.012679,6999096.0
156,31,333592815221.553,1704320048486.98
157,31,333961210836.517,1705379934850.61
158,31,388400000.0,412756.0
159,31,261846194498.885,8548406.0
160,31,1114703088.1614,854011.0
161,31,368584758.942457,71057.0
162,31,23904498886.4143,12408996.0
163,31,1738605558.05432,5827069.0
164,31,666362972987.231,17426659793626.2
165,31,1628427515.41881,3875947.0
166,31,85343063965.9182,55228410.0
167,31,1038065372867.68,4478206456171.96
168,31,502613125061.16,1180179221398.0
169,31,113563821.577404,98727.0
170,31,407187370820.238,3386420411905.1
171,31,333961210836.517,1705379934850.61
172,31,5068000000.0,1266518.0
173,31,12290568181.8182,8440023.0
174,31,150676291094.21,54324142.0
175,31,4304398865.88268,17586630.0
176,31,2588194433617.7,23150665555175.7
177,31,9298839655.23138,3117012.0
178,31,5963144000000.0,248083732.0
179,31,240366666.666667,112487.0
180,31,48598315565.032,19750579.0
181,31,168879207.244148,150882.0
182,31,22699238380982.9,84746979120044.5
183,31,125766269.755358,168186.0
184,31,115552349036.929,39877570.0
185,31,3285217391.30435,7686401.0
186,31,8783816700.0,10113893.0
1,41,283952504751.698,920792331527.746
2,41,4000285122.8013434,19542982.0
3,41,140407973778.931,784587603322.866
4,41,1429049198.45218,66097.0
5,41,104337372362.151,3275333.0
6,41,284203750000.0,37070774.0
7,41,826370370.37037,75055.0
8,41,415576210513.094,19017963.0
9,41,196799778883.361,8010428.0
10,41,870486065.883137,6307659.0
11,41,236204532891.1,10264343.0
12,41,3519991326.48464,6998023.0
13,41,2968369991.46729,11882888.0
14,41,53369787318.6245,129193327.0
15,41,13245833843.5454,8097691.0
16,41,9062898936.17021,711442.0
17,41,8076470000.0,325014.0
18,41,832072450.0,240406.0
19,41,3480219000.0,61371.0
20,41,8397912509.09679,8592656.0
21,41,655448188259.351,175873720.0
22,41,3059500000.0,264657.0
23,41,6001153306.2645,333926.0
24,41,424464089.897641,587207.0
25,41,5788329609.15755,1726985.0
26,41,914500299.097034,3759170.0
27,41,744773415931.587,30683313.0
28,41,279841151705.353,7182059.0
29,41,77860932151.9302,15351799.0
30,41,1211346869600.41,1264099069.0
31,41,16577533355.3742,16799670.0
32,41,10566578952.7857,15091594.0
33,41,19088046305.7971,48616317.0
34,41,3227927593.04316,3134030.0
35,41,99886577330.7271,39215135.0
36,41,351136568.441921,536758.0
37,41,539227277.626411,458251.0
38,41,15013629658.5671,3979193.0
39,41,34218221460.8249,66039332389.2884
40,41,30565400000.0,11105791.0
41,41,9985844486.33365,948237.0
42,41,1943145384190.16,81551677.0
43,41,333470370.37037,68346.0
44,41,164158739097.623,5340655.0
45,41,24305717541.6371,8540791.0
46,41,54790392746.1939,30774621.0
47,41,1734536872706.2,17448894596355.7
48,41,3382436657072.22,10668243564848.3
49,41,8373287271723.12,27097404937164.8
50,41,10046655321168.5,22121578723066.8
51,41,18327764882.4412,12626507.0
52,41,99838543960.0763,71371371.0
53,41,6479521539517.45,13021049031268.7
54,41,596877648793.072,40741651.0
55,41,8242392103.68061,67031867.0
56,41,125706651925.557,5176209.0
57,41,1678239218.26553,832509.0
58,41,1362248940482.77,58665453.0
59,41,5080483463.99928,1272935.0
60,41,1662127402027.54,58850043.0
61,41,4983024408.14828,19665502.0
